X ; Y ; Vx ; Vy ;
0.292315 ; 0.982129 ; 0.137731 ; -0.168613 ;
0.999261 ; 0.575985 ; 0.196108 ; 0.094560 ;
0.413749 ; 0.545422 ; 0.163325 ; -0.143962 ;
0.116616 ; 0.442814 ; 0.264509 ; 0.090274 ;
0.856763 ; 0.052828 ; 0.076802 ; 0.203719 ;
0.495677 ; 0.687475 ; -0.062450 ; -0.208566 ;
0.482034 ; 0.033916 ; -0.093386 ; 0.196670 ;
0.986628 ; 0.074165 ; 0.120575 ; -0.181278 ;
0.938157 ; 0.154291 ; 0.214539 ; 0.037052 ;
0.831500 ; 0.671094 ; 0.200879 ; -0.083951 ;
0.465375 ; 0.466497 ; 0.022185 ; -0.216582 ;
0.382807 ; 0.421407 ; -0.019188 ; -0.024533 ;
0.528861 ; 0.291370 ; 0.017322 ; 0.217025 ;
0.566654 ; 0.330251 ; 0.056364 ; -0.210293 ;
0.247638 ; 0.714168 ; 0.153783 ; 0.154112 ;
0.311399 ; 0.290361 ; 0.105373 ; -0.190517 ;
0.702338 ; 0.724413 ; -0.081440 ; 0.201910 ;
0.113720 ; 0.513566 ; -0.172932 ; 0.132266 ;
0.382192 ; 0.961149 ; -0.040431 ; -0.213928 ;
0.547095 ; 0.599487 ; -0.161013 ; 0.146543 ;
0.168787 ; 0.100632 ; -0.151033 ; 0.156809 ;
0.763905 ; 0.230057 ; 0.054570 ; -0.210766 ;
0.312717 ; 0.847774 ; -0.180228 ; 0.122139 ;
0.213014 ; 0.487910 ; 0.140641 ; 0.166193 ;
0.561282 ; 0.577034 ; -0.055700 ; 0.210470 ;
0.486889 ; 0.787628 ; 0.029441 ; 0.215716 ;
0.338918 ; 0.579119 ; -0.197503 ; 0.091610 ;
0.480335 ; 0.452615 ; 0.049587 ; 0.211993 ;
0.339304 ; 0.944418 ; -0.053520 ; 0.211035 ;
0.225123 ; 0.901777 ; -0.194885 ; 0.097055 ;
0.672314 ; 0.062272 ; -0.064111 ; 0.208062 ;
0.309906 ; 0.466664 ; 0.157172 ; -0.150655 ;
0.618268 ; 0.753915 ; -0.088709 ; 0.198823 ;
0.010175 ; 0.835418 ; 0.034610 ; 0.214947 ;
0.946345 ; 0.024291 ; 0.044790 ; 0.213058 ;
0.031972 ; 0.111163 ; -0.169079 ; 0.137158 ;
0.432872 ; 0.441479 ; 0.045029 ; 0.213008 ;
0.084977 ; 0.512759 ; 0.065467 ; -0.207639 ;
0.432875 ; 0.139278 ; 0.022983 ; -0.216499 ;
0.299547 ; 0.689872 ; 0.099340 ; 0.193731 ;
